,Q21,Q22,Q23,Q24,Q25,Q26,Q28,Q29,Q30,Q31,tweet,value
0,41-50,Male,Master's degree,Employee,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Very concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,4.0
1,26-30,Female,Bachelor's degree,Employee,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Very concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,3.0
2,Above 60 years old,Male,Bachelor's degree,Unable to work,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,A little concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,5.0
3,41-50,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Very concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,4.0
4,18-25,Female,Associate degree,Employee,Neither agree nor disagree,Agree,Disagree,Strongly Disagree,Agree,Somewhat concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,2.0
5,26-30,Male,Master's degree,Employee,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Somewhat concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,4.0
6,26-30,Female,Bachelor's degree,Self-employed,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,1.0
7,26-30,Male,Bachelor's degree,Employee,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,3.0
8,41-50,Male,Bachelor's degree,Self-employed,Agree,Strongly agree,Agree,Agree,Strongly agree,A little concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,5.0
9,26-30,Female,Master's degree,Self-employed,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,A little concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,2.0
10,26-30,Female,"8th Up to 12th grade, no diploma",Self-employed,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,A little concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,3.0
11,51-60,Male,Master's degree,Employee,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,2.0
12,31-40,Female,Master's degree,Self-employed,Strongly agree,Agree,Agree,Agree,Agree,A little concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,4.0
13,26-30,Male,Bachelor's degree,Self-employed,Agree,Strongly agree,Strongly Disagree,Agree,Agree,Very concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,2.0
14,41-50,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Very concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,3.0
15,26-30,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Agree,Strongly agree,A little concerned,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,1.0
16,41-50,Female,Bachelor's degree,Employee,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",3.0
17,41-50,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,A little concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",4.0
18,31-40,Male,Bachelor's degree,Employee,Strongly agree,Agree,Strongly Disagree,Neither agree nor disagree,Agree,Very concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",2.0
19,51-60,Female,Bachelor's degree,Employee,Agree,Agree,Agree,Strongly agree,Agree,A little concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",4.0
20,31-40,Male,Bachelor's degree,Self-employed,Agree,Agree,Strongly agree,Agree,Strongly agree,A little concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",3.0
21,26-30,Female,Bachelor's degree,Out of work and looking for work,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Somewhat concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",1.0
22,31-40,Female,Master's degree,Employee,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Agree,Very concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",2.0
23,26-30,Female,"8th Up to 12th grade, no diploma",Employee,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",3.0
24,31-40,Female,High school graduate with diploma,Employee,Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",4.0
25,26-30,Male,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Somewhat concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",4.0
26,31-40,Male,Master's degree,Employee,Strongly agree,Agree,Disagree,Agree,Neither agree nor disagree,Very concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",3.0
27,18-25,Female,High school graduate with diploma,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A little concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",3.0
28,26-30,Male,Master's degree,Employee,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Somewhat concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",2.0
29,31-40,Male,Bachelor's degree,Employee,Agree,Agree,Strongly agree,Strongly agree,Agree,A little concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",3.0
30,41-50,Female,Bachelor's degree,Employee,Agree,Agree,Agree,Agree,Agree,A little concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",4.0
31,41-50,Female,Master's degree,Self-employed,Agree,Agree,Agree,Agree,Agree,Very concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",4.0
32,31-40,Male,Bachelor's degree,Self-employed,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",3.0
33,41-50,Female,Bachelor's degree,Employee,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Very concerned,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",4.0
34,31-40,Male,High school graduate with diploma,Employee,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Somewhat concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,2.0
35,41-50,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,A little concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,3.0
