id	tweet
1	Movie that wasn't long enough: ZOLA Movie that was too long: WEST SIDE STORY Movie that was just the right length: SHIVA BABY.
2	if we are taking that deleted scene as canon, can you imagine how Julieta must’ve felt hearing her brother say that? Her baby brother no less? She’s known as the healer, she’s supposed to fix things but even her food can’t fix /that/.
3	hobi baby is going to wake up to three posts which he didn't get to like way before all of us :( .
4	@maobi31 @Motla_M Don’t fight me I have a heart problem🤧I’m only mentioning that coz of a friend who’s baby mama did that and fell into a trap.
5	@fettsaber LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like 🤨 but his name is BABY YODA.
6	@DJVro999 i’m spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..
7	hold up she wanted to say something: I will let her type: ----------------------------------------- hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting #mel out!.
8	Look, okay, if the partner and I stick to naming eligible kids after grandmothers it’s Dorothy, Hermione, or Ariel so blame my great-grandparents. .
9	Couldn't be happier for incredible @maddy_anholt whose book is published in 2022. I've believed in this book (& the show that came before it) since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington! Love it when good things happen to wonderful people 💫 .
10	is it supposed to be "real treasure?" i really need to not shitpost while i'm still working on my coffee.
11	@GroseAndrew @WestJet WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..
12	@James_AG1 @The_JasonM @dieter That’s hard to answer. I think the trading up part is where I’d draw the line. I didn’t like the pick, personally. But knowing what we do now, would you draft Josh Allen first overall instead of Mayfield knowing he’d be pretty bad until year 3? If TL develops, it’s a great pick..
13	Pretty sure the message was not to stress yourself out with the pressure of upholding these traditions. We go through enough. Besides, if you clean year round then why you need to be hard down cleaning on New Year's eve? Rest. .
14	@johnredwood Pssst! John, most of us know the Tories, including you, are all either inveterate liars or utterly ignorant ideologues. No one, except your hard core supporters vote Tory, & they do so simply bc they're either xenophobes, v wealthy or like voting against their own best interests..
15	@BadFanficWritr Because Abuela obviously wasn't, so SOMEBODY had to. Dad understands his daughter better than anyone. He even says it once: Marrying into a magical family when you don't get a power was hard, but they make it work. He understands what Mirabel is going through..
16	@kirawontmiss I would try so hard and for what 🤨 I usually did better than most the class tho so that's a confidence boost right there.
17	to the one who played dual role as my parents since i was a child. im so sorry for not being enough for u, hurting u, n walked away whenever u called my name. tbh it's still hard for me but i always try to let u go. i miss u so much. i love u and always will. ur 4th grandchild..
18	It's a little hard to relate to the problems of someone who somehow accrued this level of "F-ck You" money and privilege by age 55, and yet feels like she doesn't have options....
19	@RyanRok @GeorgeTakei I'm not going to say either one is a great take, but which do you think it worse: vaccinated people who wish death on antivaxxers, or people who are happy that some vaccinated people get sick and/or die? Hard to say imho.
20	@pIanetbabs its kind of hard to make out, i think it may be the lace in the first card or a rose pattern > < i dont have my glasses on LOL.
21	@DeborahMeaden Watched it to the very end end etc … topical satire but found it a bit boring or just hard to stick with, I kept getting easily distracted, which if a film is really good is unusual..
22	@trbyes Yes. But it is the only way to fix it. Yes, it's hard. Yes, it's asking "a lot." How many more years will all these excuses still keep coming? It's not my fault that it means they have to do something hard. Yes, they do. Or live with it..
23	@socialistsunday So why did they bring it in if they're just going to reverse it within a few hours, if this was implemented for a good reason then what has changed, if they brought it in to shake shit up then I have to ask what the fuck do they think they are playing at? It's all very strange!.
24	Now when I imagine a good time, I think me and 14,999 of my closest friends wearing diapers and standing in the same spot for hours in the worst part of the city waiting for a moment that lasts sixty seconds and looks better on tv.
25	This section 60 Order is due to incidents in the early hours of the morning, including a firearms discharge and weapons found during the sweep of the area.
26	@coworkerlauren I feel this so much. I'm worried about Miles going back to school but I also don't know what I'll do if he doesn't. I have classes three days away for three hours at a time. Nicolas has to work. It's a mess either way and I am ✨done✨.
27	I'm so fucking excited to get out of this god forsaken town even if it is just for a couple hours. Saturday will be very good and nothing is going to stop it.
28	@airfrance My year end would be better if Air France could reunite me with my luggage in Moscow… my suitcase has been on Moscow 31 hours (24 hours less than me) but no contact about delivery. No calls and phone calls not answered, appalling service!.
29	@_Rizzlaa The throwing up in the morning enn no fun at all.. I literally was throwing up for 7 hours.
30	6. Biggest struggle was during my very first Dark Souls game. I was facing O& S for the first time and I think I was stuck on them for like 10 hours over the span of 2 streams. It was a huuuge learning opportunity though, and extremely satisfying to defeat them!.
31	@EssexPR My brother, cancer patient tested positive Christmas Eve, still testing positive… said he had a cold for 24 hours, feels fine.
